Flash	Fired, Return detected	Odraz strobozáblesků detekován
Flash	Fired, Return not detected	Odraz strobozáblesků nezjištěn
Flash	No Flash	Blesk ne
Flash	No flash function	Blesk nezjištěn
Flash	Off	Blesk nepoužit, vynucený mod
Flash	Off, Did not fire	Blesk nepoužit, vynucený mod
Flash	Off, Did not fire, Return not detected	Blesk vypnut, bez záblesku, odraz nezachycen
Flash	Off, No flash function	Neaktivní, bez funkce blesku
Flash	Off, Red-eye reduction	Neaktivní, redukce červených očí
Flash	On	Blesk použit, vynucený mod
Flash	On, Did not fire	Blesk zapnut, nepoužit
Flash	On, Fired	Blesk použit, vynucený mod
Flash	On, Red-eye reduction	Blesk použit, vynucený mod, redukce červených očí
Flash	On, Red-eye reduction, Return detected	Blesk použit, vynucený mod, redukce červených očí, odraz detekován
Flash	On, Red-eye reduction, Return not detected	Blesk použit, vynucený mod, redukce červených očí, odraz nezjištěn
Flash	On, Return detected	Blesk použit, vynucený mod, odraz detekován
Flash	On, Return not detected	Blesk použit, vynucený mod, odraz nezjištěn
FlashControlMode	Manual	Manuální
FlashDevice	None	Žádná
FlashGroupAControlMode	Manual	Manuální
FlashGroupBControlMode	Manual	Manuální
FlashGroupCControlMode	Manual	Manuální
FlashIntensity	Normal	Normální
FlashMode	Normal	Normální
FlashMode	Unknown	Neznámý
FlashModel	None	Žádná
FlashOptions	Normal	Normální
FlashOptions2	Normal	Normální
FlashType	None	Žádná
FocalPlaneResolutionUnit	None	Žádná
FocalPlaneResolutionUnit	inches	Palce
FocalPlaneResolutionUnit	um	µm (mikrometr)
Focus	Manual	Manuální
FocusContinuous	Manual	Manuální
FocusMode	Macro	Makro
FocusMode	Manual	Manuální
FocusMode	Normal	Normální
FocusMode2	Manual	Manuální
FocusModeSetting	Manual	Manuální
FocusRange	Macro	Makro
FocusRange	Manual	Manuální
FocusRange	Normal	Normální
FocusTrackingLockOn	Normal	Normální
GPSAltitudeRef	Above Sea Level	Nadmořská výška
GPSAltitudeRef	Below Sea Level	Nadmořská výška (záporná hodnota)
GPSDestBearingRef	Magnetic North	Magnetický směr
GPSDestBearingRef	True North	Geografický směr
GPSDestDistanceRef	Kilometers	Kilometry
GPSDestDistanceRef	Miles	Míle
GPSDestDistanceRef	Nautical Miles	Uzle
GPSDestLatitudeRef	North	Severní šířka
GPSDestLatitudeRef	South	Jižní šířka
GPSDestLongitudeRef	East	Východní délka
GPSDestLongitudeRef	West	Západní délka
GPSDifferential	Differential Corrected	Započítaná rozdílová korekce
GPSDifferential	No Correction	Měření bez korekce
GPSImgDirectionRef	Magnetic North	Magnetický směr
GPSImgDirectionRef	True North	Geografický směr
GPSLatitudeRef	North	Severní šířka
GPSLatitudeRef	South	Jižní šířka
GPSLongitudeRef	East	Východní délka
GPSLongitudeRef	West	Západní délka
GPSMeasureMode	2-D	2-dimenzionální měření
GPSMeasureMode	2-Dimensional	2-dimenzionální měření
GPSMeasureMode	2-Dimensional Measurement	2-dimenzionální měření
GPSMeasureMode	3-D	3-dimenzionální měření
GPSMeasureMode	3-Dimensional	3-dimenzionální měření
GPSMeasureMode	3-Dimensional Measurement	3-dimenzionální měření
GPSSpeedRef	km/h	Kilometry za hodinu
GPSSpeedRef	knots	Uzle
GPSSpeedRef	mph	Míle za hodinu
GPSStatus	Measurement Active	Probíhá měření
GPSStatus	Measurement Void	Vzájemné měření
GPSTrackRef	Magnetic North	Magnetický směr
GPSTrackRef	True North	Geografický směr
GainControl	High gain down	Silné zeslabení
GainControl	High gain up	Silné zesílení
GainControl	Low gain down	Slabé zeslabení
GainControl	Low gain up	Slabé zesílení
GainControl	None	Žádná
GrayResponseUnit	0.0001	Číslo udávající tisíce jednotek
GrayResponseUnit	0.001	Číslo udávající stovky jednotek
GrayResponseUnit	0.1	Číslo udávající desítky jednotek
GrayResponseUnit	1e-05	Číslo udávající desetitisíce jednotek
GrayResponseUnit	1e-06	Číslo udávající statisíce jednotek
HighISONoiseReduction	Low	Méně
HighISONoiseReduction	Normal	Normální
ISOSetting	Manual	Manuální
ImageOrientation	Portrait	Portrét
ImageQuality	Normal	Normální
ImageTone	Landscape	Krajina
ImageTone	Portrait	Portrét
InternalFlash	Fired	Blesk ano
InternalFlash	Manual	Manuální
InternalFlash	No	Blesk ne
InteropIndex	R03 - DCF option file (Adobe RGB)	R03: DCF option file (Adobe RGB)
InteropIndex	R98 - DCF basic file (sRGB)	R98: DCF basic file (sRGB)
InteropIndex	THM - DCF thumbnail file	THM: DCF thumbnail file
JPEGQuality	Standard	Normální
LicenseType	Unknown	Neznámý
LightSource	Cloudy	Zataženo
LightSource	Cool White Fluorescent	Studená zářivka
LightSource	Day White Fluorescent	Denní zářivka
LightSource	Daylight	Denní světlo
LightSource	Daylight Fluorescent	Denní světlo
LightSource	Fine Weather	Slunečno
LightSource	Flash	Blesk
LightSource	Fluorescent	Žárovka
LightSource	ISO Studio Tungsten	Studiová světla
LightSource	Other	Jiné osvětlení
LightSource	Shade	Stíny
LightSource	Standard Light A	Standardní světlo A
LightSource	Standard Light B	Standardní světlo B
LightSource	Standard Light C	Standardní světlo C
LightSource	Tungsten (Incandescent)	Zářivka
LightSource	Unknown	Neznámý
LightSource	White Fluorescent	Bílá zářivka
LoopStyle	Normal	Normální
LuminanceNoiseReduction	Low	Méně
Macro	Macro	Makro
Macro	Manual	Manuální
Macro	Normal	Normální
MacroMode	Macro	Makro
MacroMode	Normal	Normální
ManualFlashOutput	Low	Méně
